id,kategori,soru,reference_cevap,model_cevabi
68,kardiyoloji,"KOAGULASYON SONUÇLARI PT 24,6 sn 12 - 16 INR 1,86 APTT 38,0 sn 25 - 40 COUMADİN KULLANAN HASTA SON 3 GÜNDÜR BU SONUÇLAR HK BİLGİ VERİRSENİZ MEMNUN OLRUM","Bu sonuçlara göre coumadin dozu yetersiz görünüyor. Ancak mutlaka takip eden doktora danışın. Sanal ortamda ancak genel bilgi verebilirim. Geçmiş olsun, Prof. Dr. Ali Serdar Fak, www.vivasaglik.com",Öncelikle geçmiş olsun. Bu değerler normal sınırlarda. Bunlar hastalığınızdan kaynaklanmaz. İleri tetkikler yapılabilir. Geçmiş olsun.
69,uroloji,Hocam merhaba bi sorum olacaktı ama cevabını hicbiryerde bulamadim hocam ben büyük abdestimi yaparken idrarimvarsa veya yoksa da büyük abdesti yaparken bir kaç damla idrar geliyor yani fazla değil bu normaldimir başka bi sıkıntı yok fazla idrar gibi bi durum yok lütfen ce,"Normaldir, endişe etmeyin",Normaldir.
70,ortopedi-ve-travmatoloji,"Merhabalar hocam. 30 yaşındayım. Askerlik dönemimde buz üzerinde kayıp kalçam üzerine düştüm ve belimde ağrılarım başladı. Daha sonra bir trafik kazası sonucunda bu ağrılarım daha da şiddetlendi. Kaza geçirmemin üzerinden 8 yıl geçti. Ve maalesef ki daha 1 hafta önce ortopedi ye gözüktüm. Doktorumun dediği üzre bel fıtığım yokmuş filmlerde. Kendisi kan tahlili istemişti. Ve Ürik asit seviyesi ""10.1"" çıktı. Ben et tüketimi çok az olan bir insanım. 1.70 boyunda 53 kiloyum. Ailemden kimsede ""gut yok"". Benim asıl sıkıntım kendimi 70 yaşında gibi hissediyorum çok ağrım oluyor. Hocamızın söylediğine göre GUT hastasıymışım. Bana 2 ilaç verdi Colchicum -Dispert ve Voltaren SR 75. Şu anda bu ilaçları kullanıyorum ve çok rahatım. Fakat ilaç vakti geçer geçmez tekrar kabuslarım başlıyor. 10 ay önce de Pnömotoraks yüzünden operasyon geçirdim. Şimdi de bu hastalık... Ne yapmam gerekiyor hocam, sizce durum ne kadar ciddidir? Bu çıkan değer yaşıma oranla çok mu yüksek?",Gut atak yapan bir hastalıktır ve şu an tedavisini alıyorsunuz. Ürik asit seviyesi normale dönünce sadece proteinden fakir diyet yapmanız yeterli olabilir. Tekrarlarsa yine tedavi almanız gerekir. O kadar moral bozacak bir hastalık değil. Geçmiş olsun.,GÜT hastalığı için 6-9 ayda tedavi edilmesi gerekir.
71,beyin-ve-sinir-cerrahisi,Bu soruyu eşim adına soruyorum. Belimin sol tarafından başlayıp sol bacağımın arka tarafından dizime kadar bir çizgi halinde ve dizden aşağısı ayak parmaklarına kadar tümden bir ağrım var. Bunun üzerine son 5 gün öncesi sol ayak bileğimda 2 taraflı (dış tarafında) şişme (su varmış gibi bir şişlik) var. Acılı ve ağrılı bir yanma var. Özellikle bu şişlikler neden kaynaklanabilir ve doktora gitmek istersek hangi bölüme gitmeliyiz. Acilen bir cevap verebilirseniz çok memnun oluruz. Yaşım : 35 Izmir,"İlk fırsatta yeni bir bel MR&#39ı çektirin, sonuçları bana yollayın veya bizzat getirin, sonra ayrıntıları görüşelim.",Beyin cerrahisi bölümüne başvurmanız uygun olur.
72,uroloji,Merhabalar hocam 17 yaşındayım ve ereksiyon halinde iken penisimin gövdesini tutunca penis başı büyüyor ve kenarları hafif çatlak gibi yara oluyor başını sıkınca düzeliyor bırakınca tekrar şişiyor. Sizce bu neden kaynaklanıyor olabilir ? şimdiden teşekkürler,Çok sıkı tutmayın,Bir üroloji uzmanına muayene olmanızı öneririm.
73,kalp-damar-cerrahisi,SAYIN HOCAM MERHABA.ADIM CELALETTIN ELİBÜYÜK. BENIM SOL BACAĞIMDA SUREKLI YANMA ELEKTRIKLENME VE KARINCALANMA OLUYOR.4 DEFA AMELİYAT OLDUM.ROBOTIK KALP DAMAR ACMA AMELIYATI DUYDUM FAYDASINI GOREBILIRMIYIM.YUZDE 54 ENGELLIYIM.SEKER HAST.VAR.TAVSIYENIZ NELERDIR.TESEKKURLER.,"Celalettin bey, randevu alın, elinizdeki anjiyo CD leri de getirin lütfen, bir bakalım ne yapacağımıza, robotik damar ameliyatı yapılmıyor Türkiye şartlarında, çok geçmiş olsun.","Merhaba, öncelikle geçmiş olsun. Ameliyat olmanız gerekiyor. Saygılarımla"
74,beyin-ve-sinir-cerrahisi,"Merhaba Ali bey, Umarım iyisinizdir? Ben pek iyi değilimi. Sebebine gelince. 10-12 yıldır Bel fıtığı rahatsızlığı çekiyorum. Bunca yıldır görmediğim tedavi kalmamıştır. En son Geçtiğimiz Cuma Izmit Romatem hastanesinde Doktora gittim ve MR cektirdim. Şiddetli ağrılarım başlamıştı. Sırtımın sol orta seviyesinde spazm oluştu ve beni ağlatacak seviyede acıyordu. MR sonucum bu şekilde: L4-5 düzeyinde diskte dehidratasyona bağlı sinyal kaybı, diffüz bulging, santral disk herniasyonu, dural saka bası, nöral foramenlerde daralma ve L5-S1 düzeyinde diskte dehidratasyona bağlı sinyal kaybı, diffüz bulging, sol mediolateral proztrüzyon, sol S1 sinir köküne minimal bası, nöral foramenlerde daralma. L1, L2 ve L3 de ise düzeyinde dehidrasyona bağlı sinyal kaybı yazıyor. Bu MR'a göre yorumunuz ne olur efendim. Cevabınızı bekliyor olacağım. Kolay gelsin. Saygılar Mert",Muayene bulgularınız da önemlidir. Beyin ve Sinir cerrahisinde muayene olmanızı öneririz.,"Merhaba, Öncelikle geçmiş olsun. MR raporunda bel fıtığınız var. Ancak muhtemelen ameliyatlık bir durumdur. Muayene bulgularınız ile değerlendirilmesi uygun olacaktır. Sağlıklı günler dileklerimle..."
75,beyin-ve-sinir-cerrahisi,ben 40 yaşında evli bayanım şikayetim yazdan beri süren sırt ağrısı ağrı sadece geceleri uykumun arasında yatakta dönerken oluyor fizik tedavi uzmanı kulunç dedi kas gevşetici verdi ama fayda etmedi uyku düzenim çok bozuldu ne önerirsiniz teşekkürler iyi çalışmalar,Öncelikle fizik tedavi görmenizde yarar var. Eğer rahatlamazsanız bana gelebilirsiniz. Dr Aybars AKKOR 0-212- *** *** **,Beyin MR&#39;si çektirmenizi tavsiye ederim.
76,genel-cerrahi,"Merhaba Hocam, 28 yaşındayım, 1 i normal, 1 i sezeryan olmak üzere 2 doğum yaptım ve hamilelik ve sonrasında hemoroid problemi, kabızlık v.s. yaşamadım. Son günlerde kabız olmamama ve ağrılı dışkı yapmamama rağmen dışkımda bol miktarda kan görüyorum belki damarlarda bir çatlama olmuştur bilemiyorum, hiçbir ağrım, sancım, rahatsızlığım, şikayetim yok.. Sebebi ne olabilir? Kolonoskopi falan gerekir mi? Genel Cerrahi bu sorum için doğru alan mı emin değilim, beni bilgilendirir misiniz. Teşekkür ederim.",Genel cerrahi sorunuz ve sorununuz için doğru adres. Ama probleminiz soru cevap şeklinde çözülebilecek bir şey değil. Mutlaka bir genel cerrah tarafından muayene edilmeniz gerekli. İyi günler.,"Merhaba, kolonoskopiden sonra tedaviye başlanır. Geçmiş olsun."
77,fiziksel-tip-ve-rehabilitasyon,Merhaba Ayşegül Hnm anneme dizleri için protez takmaktan başka çare olmadığı söylendi bu durumda kök hücre tedavisi yapılabilir mi?,Merhaba Annenizi mümkünse tetkikleri ile beraber muayene edersem bu yanıtı verebilirim.,Bir cerrahi muayene ile karar verilir.
78,ortopedi-ve-travmatoloji,slm emar çektim diz için sonuç synovialefüzyon ve prepatellar yumuşak dokuda hafif ödem çıktı çömelemiyorum sabit durduğumda aşırı ağrı oluyor dizlik önerdi bişey yok diyor ağrısı çok tşk,"sedat bey dizlik, istirahat ve ilaç tedavisi yeterli olacaktır",Dizinizdeki sorunun tedavisi için muayene edilmesi gerekir.
79,uroloji,Hocam merhabalar ben 22 yaşındayım Herhangi bir kronik rahatsızlığım yok . Her ay ilk gün ağrılı regl görüyorum ve bir adet dolerex yada dicloflam içiyorum . Yaklaştık bu 3-4 senedir . Sadece ayda bir içiyorum . İnternette böbreklere zarar verdiği yazıyordu bu kadar kısa sürede böbrek yetmezliği yapar mı ? Eylül de idrar tahlili verdim tüm değerlerim kan vs normal çıktı lökosit +- yazıyordu onu anlamadım normal mi ? Bide yaklaşık 4 senedir de 10 mg citoles kullanıyorum anksiyetem olduğu için bu içtiklerim böbreklerime zarar verir mi ? Bir kaç gündür böbreklerim ağrıyor gibi ama böyle sürekli süren Ağrı değil bir kaç saniye yada bir dakika falan sonra geçiyor neden olabilir? daha yeni tahlil yaptırdım bir şey olsa çıkmaz mıydı ? Hepsine tek tel cevap verirseniz çok mutlu olurum,Devamlı almazsanız zararı olmaz. Kas ağrısı olabilir. Geçmezse bir üroloji uzmanına muayene olmanız gerekir,Böbrek yetmezliği olmaz. İdrarda ödem varsa ilaç tedavisi ile düzelir. Ancak ödemin kaynağına bakmak gerekir.
80,beyin-ve-sinir-cerrahisi,"Harewketli iki yönlü filmde bel kayması tespit edilip, ameliyat önerildi. Ama isteğimize bırakıldı.Bacaklarda güç kaybı yok.Ağrı 4 aydır sürüyor.Belde sağ bacakta,sağ topukta belirgin ve şiddetli. Bir aydır fizik tedavicini verdiği 6-7 çeşit egzersiz lerden yapıyorım.Nispeten rahatladım.Acaba bel kayması için önerilen ve mahzurlu bulunan eksersizleri öğrenme imkanımız var mı? Ameliyatsız tedaviye ulaşma ihtimalimiz ne kadar olabilir. Saygılar efendim.","Size antaljik trak ve kryoprakti uygulayabiliriz. Ayrıntılı bilgi için www.akkorsaglik.com adresine girebilir, veya aşağıdaki telefonlardan Aynur Hanımı arayabilirsiniz. Dr Aybars AKKOR *** *** ** / *** *** **",Bence ameliyat olmanız gerekir. Muayene etmeden ve tetkiklerinizi görmeden yorum yapmak yanlış olur.
81,kardiyoloji,hocam merhaba tekrar benım 5400 adet ves çıktı demiştim holterde.bıraz fazla demişsiniz.ben eko da yaptırdım.ekom normal çıktı doktor ilaca gerek yok dedı.şimdi ne dıyorsunuz 5400 adet ves .için.tehlkesı varmı hocam ve bazen akşamları peşpeşe 10 kez teklıyor kalbım sankı bi tekleme bı tık bi tekleme bı tık şeklınde ardarda.değerlı yorumunuza ihtiyacım var hocam.bu sayıdan dolayı kalbıme zarar gelirmi,"Ekonuz normalse, daha fazla endişe etmeyin. Bu atımları azaltıp sizi rahatlatacak ilaçlar var ancak, kullanmak her zaman gerekmez. Endişe etmezseniz şikayetiniz zamanla azalacaktır. Geçmiş olsun.",Bir sorun olmaz. Ancak 5400 adet ves kullanmak için tedaviye başvurmanız gerekiyor.
82,dahiliye-ve-ic-hastaliklari,"karaciger oldugu yerde agrı var.omurilik civarlarına mide arkasına ve sırtıma vuruyor.batmalı yanmalı şekilde bazen şişkinlik vererek agrılarım var.karacigerde büyüme var dedi ddoktor.kolestrol tansiyon şeker triod ne varsa ultronlar beraber yaptırdım.agrılar bazen artıyor bazen hiç yok çok rahatsız eden bir agrı degil ama oturunca yapıyor genelde.3 defa dahiliye gittim KAN İDRAR değer dışı çıkanlar MPV :12.6 fL (8.0 &#8211; 12.0) WBC :11,*** *** ** - *** *** **) EO% :0.6 (1-4) PDW :17.6 (9-17) Albümin:5",İç hastalıkları ile ilgili bir sorun bulunmadığına göre kas-iskelet sistemine ait ağrılar olabilir. Fizik tedavi uzmanına başvurunuz.,"Bir hastalığınız yok. Karaciğerlerinizdeki büyüme, kolesterol yüksekliği, şeker ve trigliserit açısından önemlidir. Bu nedenle mutlaka tedavi olmanız gerekecek. Geçmiş olsun."
83,beyin-ve-sinir-cerrahisi,merhabalar.. Hocam benim size sormak istediğim soru yaklaşik 1.5 aydir gözlerim sanki boş boş bakiyor sanki beynim hiç çalışmıyor gibi hissediyorum belli bi amacım yokmuş gibi hissediorum bir yerebakerken.. nöroloji ye göründüm 4 çeşit kan testi eliza herbör rutin kan ve hemogram testi yapıldı 1 de eeg testine girdim tüm sonuçlar hgayet normal hiç bi aksaklık yok sizce ne yapmaliyim tomografide gereklimi yaşam kalitemi olumsuz etkliyor psikolojik olma ihtimali nedir birde sürekli pc başındayim..,psikiyatriye başvurun mutlaka,Beyin MR'ı çektirmeniz uygun olur.
84,uroloji,hocam öncelikle iyi günler ben yaşım 34 bekarım 2006 yılında böbrek nakli oldum düzenli olarak cell cept certican kortizon kullanmaktayım böbrek fonksiyonlarımda normal düzeyde seyrediyor içki sigara kullanmıyorum. sormak istediğim benim dün yaşadığım olay psikolojimi bozdu normal zamanda cinsel birliktelik aklıma gelse ya da cinsel obje gördüğümde penisim sertleşirdi ama erken boşalırdım.bunun için dün yaşadığım ilişki öncesi cialis 20 mg aldım ve erken boşalma olmasın diye penisime geciktirici krem sürdüm ama maalesef partnerimle sağlıklı bir birliktelik yaşayamadım penisim de sertleşme olması zaman aldı ama çok kısa sürdü boşalma miktarı da çok az oldu.şu an bile hala penisim de sertleşme rahat olmuyor. daha önce ağustos ayında erken boşalma için gittiğimde doktorun yaptırdığı tahlilerde prolaktin ve testestoron hormonları da normal çıkmıştı.daha iki üç gün öncesine ilaç kullanmadan sertleşme de sıkıntı yaşamamıştım bu kadar kötü durumla ilk kez karşılaşıyorum.bu durum psikolojimi bozdu bu duruma acaba geciktirici krem mi neden oldu . muayene olmadan tabi ki bir şey söylemek zor ama bir ön bilgi verirseniz sevinirim hocam şimdiden teşekkür ederim,"Geciktirici krem kullanmayın. Bir süre sonra geçer, endişe etmeyin.","Böbrek nakli sonrası yapılan tüm tetkikler normal ise, psikolojik sorunlara bağlı olabilir. Ancak, psikiyatriste başvurmanızda fayda var."
85,beyin-ve-sinir-cerrahisi,"Merhaba hocam, Geçen sene babama 3ay içinde 2kez fıtık ameliyatı yapıldı aynı yerden.Aradan 10ay geçtikten sonra bu fıtık aynı yerden nüksetti.(Multipl seviyede disklerde dejeneratif T2 sinyal kaybı izlenmektedir.L1-2 düzeyinde diskte minimal bulging izlenmektedir.L2-3 düzeyinde diskte minimal bulging izlenmektedir.L3-4 düzeyinde diskte diffuz bulging izlenmektedir. L4-5 düzeyinde diskte sol parasantral inferior uzanımlı fokal herniasyon, dural kese, korda basısı izlenmektedir.L5-S1 düzeyinde diskte santral minimal fokal protrüzyon izlenmektedir.)Şimdi ise bize vida takılması gerektiği söyleniyor.Babamın yaşı 62 ve bu vidadan sonra olabileceklerden endişeliyiz.Size sorum 3.ameliyatta bu vidalama gerekli mi başka yolu var mı, nasıl bir yol izlemeliyiz? Teşekkür ederiz..",Merhabalar. Öncelikle geçmiş olsun. Hastanız iki kere bel fıtığı ameliyatı geçirmiş ise bir 3. ameliyat gerekiyor ise vida gerekebilir. Ancak hastanızı görüp muayene etmeden ve tetkiklerini incelemeden yorum yapmak doğru olmaz. Sizi görüp değerlendiren ve mümkünse daha önce de ameliyat etmiş olan meslektaşlarımıza danışmanızın en sağlıklı seçenek olacağı kanaatindeyim. Şifa dileklerimle.,Beyin cerrahisi uzmanına başvurun.
86,beyin-ve-sinir-cerrahisi,Hocam bir saat önce kafamı buzdolabına carptım. Hafif acıyor dokununca hafif bir ağrı var ben panik birisiyim bişey olurmu acaba,"Olmaz, endişe etmeyin.",Bir süre sonra geçer.
87,beyin-ve-sinir-cerrahisi,"1- Sayın Hocam, 2 yıl önce belimde ve sağ bacağımdaki ağrıdan dolayı muayene oldum, MR raporumda; ""L3-4, L4-5, L5-S1 disklerinde dural keseyi anteriordan minimal indente eden diffüz anüler taşmalar, anterior epidural yağ mesafelerinde daralmalar, vertebra korpus köşelerinde osteodejeneratif değişiklikler izlenmektedir."" yazıyor. Herhangibir İlaç kullanmadım ve tedavi olmadım, şikayetlerim arttı, kalça kemiğim sızlıyor ve geçmeyen bir ağrı mevcut.Tekrar muayene olacağım. devamı --> Ş.I.","İlk fırsatta yeni bir bel MR&#39ı çektirin, sonuçları bana yollayın veya bizzat getirin, sonra ayrıntıları görüşelim. Dr Aybars AKKOR 0-212- *** *** ** Faks:*** *** **","Sayın Şükrü Bey, Öncelikle geçmiş olsun. Bu duruma göre ameliyatlık bir durum yok. Ancak şikayetlerinizi da tam olarak anlayabilmem için muayene etmem gerekiyor. Muayenede de ameliyatlık durum yoksa ameliyata gerek yoktur. İyi çalışmalar."
88,kardiyoloji,"Hocam merhaba ben 32 yaşındayın 110 kiloyum 4 yıldan beri hipetartansiyon hastasıyım. İlk doktora gittiğimde tansiyonum 17-11 civarındaydı. 1 haftalık takip sonunda exforce 10/160 kullanmaya başladım. Genetik tansiyon olduğunu söylediler. Tansiyonum *** *** ** civarında gezmeye başladı. Bir gün bir doktor arkadaşım bu hap sana çok ağır , böbreklerini bozabilir, yan etkile ryapabilir ileride dedi. ve norvacs 10 mg kullanmamı söyledi. Norvac kullanmaya başladım. tansiyonum 9 civarında seytermeye başladı. Sonra doktora gittim oda bana karvea 160 mg verdi. Katvea kullanırken tansiyonum zaman zaman 15-10, 14,9, 16,10 a kadar çıkmaya başladı. ayrıca nabız atışımda 100 den aşağıya hemen hemen düşmüyor. Bugün tekrar exforce 5-160 kullanmaya başladım. Benim merak ettiğim acaba bu exforce çok ağır bir hap mı.. böbreklerimi bozarmı.. lerde 60 yaşına gelince tansiyonumu kontrol etmek için çok dah aağır haplar mı kullanmam gerekir exforceye devam edersem.. teşekkürler","Hayır, özellikle ağır bir ilaç değil, ancak sizin bünyenize uygun olup olmadığını bilemem. Hangi kişiye hangi ilacın uygun olduğu hakkında sanal ortamda (hastayı muayene etmeden) yorum yapmak mümkün değil ve hukuken doğru da değil. Onlarca çeşit tansiyon ilacı var; herkesin bünyesine uygun olanı ancak muayene ve tetkikleri inceleyerek karar verebiliriz. Geçmiş olsun, Prof. Dr. Ali Serdar Fak, www.vivasaglik.com","Merhaba, öncelikle geçmiş olsun. Bu konuda bilgi veremeyen bir kişi ile görüşmenizi tavsiye ederm. Geçmiş olsun."
89,genel-cerrahi,"merhaba 43 yaşındayım,sırtımın yanında minik mandalina kadar lipomum vardı 2senedir acı yokdu şu andada lipomumum üstüne bastırınca ağrı yok ama kol butum aynı eski acılarım gibi,sanki lipom var ama hiçbir kitle yok görünürde .sorum ,,ben 117 kiloyum bu lipomu aldırsam lokal olabilirmi illaki narkozmu gerekiyor .şekerimde var .ameliyattan korkuyorum beni bu konuda aydınlatırmısınız birde hastaneye gidince hangi bölüme gitmeliyim daha önce fizikçi cerraha göndermişdi şimdi nereye gideyim teşekkür",lokal kolayca olur ve bir genel cerrah koalyca bunu gerçekleştirir geçmiş olsun,Lipom ameliyatında kendi kendine kalmaz. Ameliyat edilmesi için öncelikle muayene edilmeniz gerekecek. Lipomun büyüklüğünden ve yerinde ne olduğunu bilmek lazım.
90,genel-cerrahi,Doktor bey merhaba 1 ay once çift tarafli kapali kasik fitigi ameliyati oldum . Sag tarafimda problem yok lakin ama sol tarafimda agri var . Sol tarafimdan daha once acik ameliyat olmustum ve fitik tekrarladiginda baya agrim vardi . Su anki bahsettigim agrida sanki yeni ameliyatla alakali degilde acik ameliyatta koyulan parcayla alakali gibi ameliyat olmadan once olan agrimla ayni yerde . ayakta kalinca ve karnimi icine cekince aciyor . 1 ay gecmesine ragmen Bu normalmidir . Icerideki yaralar yeni oldugundanmidir . Özelliklede ayakta durdugumda yurudugumde oluyor . Ameliyat sonrasinda 2 kere kontrole gittim muayene sonucunda sorun yok iyisin dendi . İyi calismalar,1 ay sürmemesi lazımdı. Bir ultrason çektirin,"Merhaba, öncelikle geçmiş olsun. Kırık ve kemiğin tamamını kaybetmişsiniz. Ama bu şikayetleriniz de kırığınızın tamamını kaybettirmişsiniz. Biraz daha beklemeniz lazım."
91,fiziksel-tip-ve-rehabilitasyon,"sayın hocam,benim 1 senedir fibromiyalji rahatsızlığım var.fibromiyalji&#39;nin bütün belirtilerini taşıyorum.yorgunluk,halsizlik,baş ve boyun ağrıları,denge kaybı,bir şeyler olacakmış hissi,ellerde ve ayaklarda karıncalanma oluyor fakat en şiddetlisi sol kürek kemiğimin arkasında olan ağrı çoğu zaman çekilmez oluyor,sağolsun doktor arkadaşlarım yardımcı oluyor ve anti deprasan ilaçlar veriyorlar,ama ben beynimde ilaç kullanmadan yenmek istiyorum.ne olur bana yardımcı olun ilaç kullanmadan bu hastalığı nasıl yenebilirim.",Kuru iğne tedavisi gerekebilir. Aşağıdakileri inceleyin: Makaleler: http://www.doktorsitesi.com/yazi/sirt-agrisi-sebepleri-/7622 http://www.doktorsitesi.com/yazi/fibromiyalji-ve-miyofasyal-agri-(-kas-romatizmalari-)/7180 http://www.doktorsitesi.com/yazi/kuru-igne-tedavisi-/7181 http://www.doktorsitesi.com/yazi/miyofasyal-agri-sendromundaki-(kas-romatizmasi)-sikayetlerin-ozellikleri/7196 Kas Romatizması : http://www.doktorsitesi.com/video/kas-romatizmasi-nedir-nasil-tedavi-edilir/1609 Kuru iğne tedavisi nedir ? http://www.doktorsitesi.com/video/kuru-igne-tedavisi-nedir/1610 TV*** *** ** Perşembe Günlük Hayat &#39;Kuru iğne ve Kas romatizması&#39;&#39; http://www.tv8.com.tr/v-*** *** **-gunluk-hayat-18-agustos-2011-persembe,"Fibromiyalji tedavisi için, öncelikle psikiyatrik muayenenizi yapmak gerekir. Eğer şikayetleriniz psikolojikse, psikiyatriye başvurmanız uygun olacaktır. Eğer şikayetleriniz de psikolojik değilse, fibromiyalji tedavisine başlanabilirsiniz. Tedaviyi tamamladığınızda, şikayetleriniz geçecektir."
92,genel-cerrahi,16 yasindayim. Sol kasigimda fitik var. Kilom 110. Hangi sporlari yapmaliyim. Basketbolun sakincasi varmi. Ameliyat olmak icin kac kilo olmami uygun goruyorsunuz. Boyum 1.90. Tesekkur ederim,"Maşallah boylu poslusunuz. Fıtık ameliyatı için kilo sınırlaması yok. Boyunuza göre o kilonuzla ameliyat olabilirsiniz, zayıflarsanız daha da iyi olur. Karıniçi basıncını artıracak sporlardan kaçınmanız gerekir, ağır kaldırma, mekik çekme gibi. Yüzme her zaman iyi olur.",Baskı için de basketbol uygun değil. Ama kilo vermeniz gerekir.
93,ortopedi-ve-travmatoloji,iyi akşamlar annem 3 AY ÖNCE (banyoda temizlik yaparken ters bir hareket sonucunda) omzunda ağrı başladı.kolunu hareket ettirğinde ağrı oluyor hareket kısıtlılığı oluştu ((kolunu yukarı ve arkaya getiremiyor hareket kısıtlılığı var.omzuna deyince çok ağrıyor annemde kemik erimeside var 67 yaşında omuz ağrılarını araştırdığımda karşıma (kanserde akciğer tümöründe) omuz ağrısı olabilceğini söledi çok endişelendim gittiğimiz dr kas gevşetici ağrı kesici verdi kötü bişey olabilirmi SAYGILARIMLA,sayın karakaş. sebebi belli plan bir ağrıdan böyle bir sonuca ulaşmanız doğru değildir. hekiminizin verdiği tedaviyi kullanarak tedavi bittikten sonra şikayetlerinizin değişimine göre tekrar hekişminizle görüşünüz geçmiş olsun dileklerimle,Kas gevşetici ilaçlar kullanmakta fayda var. Bir süre sonra şikayetlerinizi azaltabilirsiniz.
94,fiziksel-tip-ve-rehabilitasyon,son 3 yıldır sağ omuzumda ağrı var. kolumda elimde uyuşma yok. spor yapıyorum yine geçmiyor boyun fıtığı olmuş olabilir miyim? teşekkür ederim.,"Olabilir. Veya, omuza ait olabilecek, ilk sırada akla gelebilen 4-5 rahatsızlıktan biri olabilir.",Bir fizik tedavi uzmanına muayene olmanızı öneririm.
95,genel-cerrahi,Merhaba Dr bey teyzem geçtiğmiz perşembe safra kesesi taşı için ameliyat oldu ameliyat başarılı geçmiş safra kesesi taşlarla birlikte alınmış şu an hala hastanede çünkü şiddetli gaz problemi yaşıyor.. Dr eğer şikayetlerin devam ederse tekrar ameliyat ederim demiş bu gereklimi yani daha 3 gün olmuşken ikinci ameliyat ne için ? birde gaz problemini azaltmak için bizim yapacağımız bişey varmıdır yemesiyle içmesiyle v.s şimdiden teşekkür ederim SAYGILAR,"Ameliyat sonrası gaz olabilir. Ama 3 gün sonra bunları tamamen bitmiş olmasını bekleriz. Eğer şikayeti devam ediyorsa kontrol ve takip edilmesi gereken bir durum var demektir. Bunu da en iyi hekimi bilebilir. Bence hekiminizle irtibatınız kesmeyin, onunla daha detaylı konuşun.","Merhaba, Safra kesesi taşları ameliyattan sonra da olabilir. Eğer tedaviye rağmen şikayetler devam ediyorsa tekrar ameliyat önerilir. Gaz problemi için ilaç kullanmanızı tavsiye ederim."
96,kulak-burun-bogaz-hastaliklari,Merhaba hocam benim 5 yaşın da oğlum var sürekli hastaneye götürüldum hiç birinin den sonuç almadım kaç kere ilaç kullandım hiç biri iyi gelmedi çocuğum her gün burnum tıkalı diye ağlıyor ve burnun içi kızarıklık var bana bu konuda yardımcı olursanız sevinirim,memnuniyetle yardımcı olurum. dilediğiniz zaman randevu alarak gelebilirsiniz..,Bu duruma tedavi edilebilir bir hastalık yoktur.
97,beyin-ve-sinir-cerrahisi,"Sayın Hocam; Şuan 32 yaşındayım. 3,5 yıl önce cinsel ilişkiden sonra şiddetli baş ağrısı ve ardından yaklaşık 1 dk. bilinç kaybı yaşadım. 2 defa çekilen BT ve 2 defa yapılan 4 damar anjiyo (DSA) sonucunda beyin kanaması (non-anevrizmal SAK ) geçirdiğim anlaşıldı.Nedeni teşhis edilemedi (anlık tansiyon yükselmesi?).Hiçbir iz bırakmadı.Benim bir daha beyin kanaması geçirme riskim var mı? En çok nelere dikkat etmeliyim? Saygılarımla...","elbette var,bence anjiyoyu tekrar edin çünkü cinsel aktivite sonrası olan kanam en çok anevrizma rüptürnde olur","Beyindeki kanama, sadece bir hastalığa işaret değildir. Hastalığı belirtecek bir şey yoktur. Ancak, bu durumda, kendi kendine bir hastalık olabilir. Bu nedenle, muayene edilmenizi öneririm."
98,genel-cerrahi,Hocam kolon hastalığı ilerleyince karaciğer sıçramis bu devrede ameliyat ta kesin çözüm oluyo mu bide iyi kötü huyluşu oluyo mu,Elinizdeki filmleri bana goturun ancak ozaman bir oneride bulunabilirim,"Karaciğerdeki sıçrama ve kireçlenme, kolon hastalığının tedavisi ile tamamen düzelir. Ameliyattan sonra da iyileşmeniz mümkün."
99,uroloji,İyi günler hocam Benim doğustan sol testisim yok bu konu hakkında doktora gittim ve bana belki doğduğunda hiç oluşmamıştır belkide zamanla kaybolmuştur dedi 22 yaşındayım ve diğer sağ testisimde çok küçük ne yapmalıyım gercektende yapılacak birşey yok mu?,Bir üroloji uzmanına muayene olmanızı öneririm. Doç Dr Ali Nejat Eğilmez,Bir üroloji uzmanına başvurun.
